attribute,wrong_val,correct_val
2495.hospitalname,TUSC*AL*OO*SA VA MEDICAL** CENTER,TUSCALOOSA VA MEDICAL CENTER
110.providernumber,10018,10007
1359.providernumber,10018,10083
1603.providernumber,10018,10100
2451.phonenumber,2053258100,2513682500
2260.emergencyservice,*N****o,No
2654.condition,Surgical Infecti*on* *Preve*ntio*n,Surgical Infection Prevention
799.condition,*Surgica**l Infec*tion* Prevention,Surgical Infection Prevention
817.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
2518.phonenumber,2053258100,2518472223
2401.condition,Surgi*c*al Infecti*o*n Prevent*ion,Surgical Infection Prevention
1334.providernumber,10018,10079
99.phonenumber,2053258100,3344933541
7054.measurecode,SCI**P*-I*N*F-4,SCIP-INF-4
31.stateavg,AK_PN-7,AL_PN-2
5897.emergencyservice,***N**o,No
5863.emergencyservice,***N**o,No
812.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
730.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Pneumonia Patients Given Smoking Cessation Advice/Counseling
2066.stateavg,AL_SCIP-CARD-2,AL_PN-7
4900.measurecode,SC*IP-I***NF*-4,SCIP-INF-4
2645.state,**A***K,AK
1294.providernumber,10018,10073
2077.stateavg,AL_SCIP-CARD-2,AL_AMI-3
2747.condition,**He***art Attack,Heart Attack
1985.stateavg,AL_SCIP-CARD-2,AL_HF-4
439.stateavg,AL_SCIP-INF-1,AK_PN-4
9548.hospitaltype,Ac*ute* Ca*re Hospit*a*ls,Acute Care Hospitals
4536.hospitalname,V*A S. ARIZONA *HEALTHC**ARE S*YSTEM,VA S. ARIZONA HEALTHCARE SYSTEM
2493.phonenumber,20*5*5*5**42000,2055542000
4569.hospitalname,VA N*ORTHERN ARIZONA HEALTHCARE** *SY*STEM,VA NORTHERN ARIZONA HEALTHCARE SYSTEM
5886.hospitaltype,Acute *Care - VA *Med*ical *C*enter,Acute Care - VA Medical Center
4531.hospitalname,VA S*. ARIZONA *HEALTHCARE* SYST**EM,VA S. ARIZONA HEALTHCARE SYSTEM
9416.hospitaltype,Acu**te Care Hospita*l**s,Acute Care Hospitals
2033.stateavg,AL_SCIP-CARD-2,AL_HF-2
749.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Heart Failure Patients Given Discharge Instructions
2523.phonenumber,2053258100,2518472223
429.providernumber,10018,10164
107.providernumber,10018,10007
4562.hospitalname,VA* NO*RTHERN *ARIZONA HEALT*HCARE SYSTE*M,VA NORTHERN ARIZONA HEALTHCARE SYSTEM
4797.measurecode,SC***IP*-IN*F-4,SCIP-INF-4
2088.stateavg,AL_SCIP-CARD-2,AL_PN-4
1591.providernumber,10018,10099
2773.condition,*He**a*rt Fai*lure,Heart Failure
726.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
8275.emergencyservice,N*****o,No
2641.state,****A*K,AK
803.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Heart Attack Patients Given Aspirin at Arrival
808.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
5253.measurecode,*SCIP*-*IN*F-*4,SCIP-INF-4
744.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
9417.hospitaltype,Ac**ut*e C*are Hosp*itals,Acute Care Hospitals
1912.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
2494.hospitalname,TUSCALO**OSA VA M**E*DICAL CENTER,TUSCALOOSA VA MEDICAL CENTER
449.providernumber,10018,20017
452.providernumber,10018,20018
874.condition,*Surgical* Infe*ction *Pr*evention,Surgical Infection Prevention
5905.emergencyservice,*****No,No
1588.providernumber,10018,10099
1266.providernumber,10018,10069
74.stateavg,AK_PN-7,AL_AMI-5
1274.providernumber,10018,10069
1648.providernumber,10018,10102
1656.providernumber,10018,10102
2126.stateavg,AL_SCIP-CARD-2,AL_AMI-2
2811.state,*A****K,AK
2962.condition,Sur*gical I*nf*ection Preve*n*tion,Surgical Infection Prevention
676.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
2610.condition,*Hea**rt Att**ack,Heart Attack
2710.state,A*****K,AK
1299.providernumber,10018,10073
432.providernumber,10018,10164
1921.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
2468.phonenumber,*33*4*260410**0,3342604100
8267.emergencyservice,****N*o,No
2662.state,*****AK,AK
2868.condition,He*a*rt *At**tack,Heart Attack
4540.phonenumber,52**062*9*182*1,5206291821
1339.providernumber,10018,10079
2594.phonenumber,2053258100,9072613675
1623.providernumber,10018,10101
1926.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Heart Attack Patients Given Aspirin at Discharge
2115.stateavg,AL_SCIP-CARD-2,AL_PN-6
2642.state,***A**K,AK
1314.providernumber,10018,10078
2666.condition,Heart *Att*a**c*k,Heart Attack
1709.emergencyservice,***N**o,No
67.stateavg,AK_PN-7,AL_SCIP-INF-6
5893.hospitaltype,Acute C**a*re - VA M*edical C*enter,Acute Care - VA Medical Center
721.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Heart Attack Patients Given Beta Blocker at Discharge
1608.providernumber,10018,10100
6186.measurecode,SCIP**-I**NF-*4,SCIP-INF-4
81.stateavg,AK_PN-7,AL_PN-2
2090.stateavg,AL_SCIP-CARD-2,AL_PN-6
2682.condition,Surgical* Inf*ecti*on Prev*e*ntion,Surgical Infection Prevention
1354.providernumber,10018,10079
115.providernumber,10018,10007
2600.phonenumber,2053258100,9072613675
2700.condition,Hear**t** Failu*re,Heart Failure
5581.measurecode,SCI*P-*I*NF*-*4,SCIP-INF-4
9403.hospitaltype,***Acute Care Hospi*tal*s,Acute Care Hospitals
2589.phonenumber,2053258100,9072613675
2861.state,A*****K,AK
4572.emergencyservice,**N***o,No
3174.condition,Surgi*cal Inf*ection* Preventio**n,Surgical Infection Prevention
2624.state,*A****K,AK
2699.state,***A**K,AK
2690.condition,He*a***rt At*tack,Heart Attack
2691.state,**A***K,AK
76.stateavg,AK_PN-7,AL_AMI-8A
1631.providernumber,10018,10101
83.stateavg,AK_PN-7,AL_PN-4
8260.emergencyservice,N*****o,No
69.stateavg,AK_PN-7,AL_SCIP-VTE-2
1628.providernumber,10018,10101
2051.emergencyservice,N*****o,No
1306.providernumber,10018,10073
2055.stateavg,AL_SCIP-CARD-2,AL_AMI-7A
2673.state,****A*K,AK
2710.phonenumber,2053258100,9075436300
2699.phonenumber,2053258100,9075436300
1846.condition,Surgi*ca*l Infec*tion Preve*n*tion,Surgical Infection Prevention
2705.phonenumber,2053258100,9075436300
1651.providernumber,10018,10102
2009.stateavg,AL_SCIP-CARD-2,AL_HF-3
5556.measurecode,S*CI**P-I*N*F-4,SCIP-INF-4
1596.providernumber,10018,10100
2588.phonenumber,2053258100,9072613675
5902.hospitaltype,A*cute* Care - VA* Medical* Cent*er,Acute Care - VA Medical Center
2501.phonenumber,20555*42**0*0*0,2055542000
1326.providernumber,10018,10078
4512.phonenumber,602*2**226**444,6022226444
2698.phonenumber,2053258100,9075436300
2937.condition,Surgic*al In**fection P*reve*ntion,Surgical Infection Prevention
1671.providernumber,10018,10103
2885.state,****A*K,AK
4510.phonenumber,6022*2*2**6*444,6022226444
58.stateavg,AK_PN-7,AL_PN-4
5908.hospitaltype,*Acut**e Care *- VA Medical Cent*er,Acute Care - VA Medical Center
5931.measurecode,**SC*IP-*I*NF-4,SCIP-INF-4
2681.state,***A**K,AK
3274.condition,S*u**rgic*al In*fection Prevention,Surgical Infection Prevention
1935.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Heart Failure Patients Given Smoking Cessation Advice/Counseling
1668.providernumber,10018,10102
1636.providernumber,10018,10101
2264.phonenumber,2059334***51**5,2059334515
9414.hospitaltype,Acu*t*e C*are Ho**spitals,Acute Care Hospitals
5896.emergencyservice,****N*o,No
22.stateavg,AK_PN-7,AL_AMI-3
4536.emergencyservice,*N****o,No
2671.state,**A***K,AK
2073.emergencyservice,*N****o,No
1953.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Heart Attack Patients Given Smoking Cessation Advice/Counseling
1261.providernumber,10018,10069
2820.condition,H*eart*** At*tack,Heart Attack
5889.hospitaltype,Acut*e Care* - VA* Medi*c*al Center,Acute Care - VA Medical Center
767.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Children Who Received Reliever Medication While Hospitalized for Asthma
2593.phonenumber,2053258100,9072613675
1583.providernumber,10018,10099
1930.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
1180.condition,Surgical Infectio*n ***Prev*ention,Surgical Infection Prevention
2104.stateavg,AL_SCIP-CARD-2,AL_AMI-5
5656.measurecode,**S*CIP*-I*NF-4,SCIP-INF-4
2476.hospitaltype,Acute C**are *- VA *Medical Cen*ter,Acute Care - VA Medical Center
2497.phonenumber,205554*****2000,2055542000
2721.condition,**Heart* *A*ttack,Heart Attack
5907.hospitaltype,*Acut*e* Care - VA Medical Cent*e*r,Acute Care - VA Medical Center
4571.hospitalname,VA N*ORTHERN* ARIZO*NA HEALTHCA**RE SYSTEM,VA NORTHERN ARIZONA HEALTHCARE SYSTEM
5.stateavg,AK_PN-7,AL_SCIP-INF-4
2629.state,A*****K,AK
2755.state,A*****K,AK
1330.condition,Surg**ical Infection P*r*ev*ention,Surgical Infection Prevention
2491.hospitalname,TUSCA***LO*OS*A VA MEDICAL CENTER,TUSCALOOSA VA MEDICAL CENTER
1974.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
3.stateavg,AK_PN-7,AL_SCIP-INF-2
2631.state,*A****K,AK
2013.stateavg,AL_SCIP-CARD-2,AL_PN-4
416.providernumber,10018,10164
8004.providernumber,10018,50095
2121.condition,Surgical I*nf*ection *Preve**ntion,Surgical Infection Prevention
6665.measurecode,*S*CIP-*I**NF-4,SCIP-INF-4
717.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Heart Attack Patients Given Aspirin at Arrival
2505.phonenumber,2053258100,2518472223
680.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Pneumonia Patients Given Smoking Cessation Advice/Counseling
1894.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,surgery patients who were given the  right kind  of antibiotic to help prevent infection
2002.stateavg,AL_SCIP-CARD-2,AL_AMI-3
2725.condition,He**ar***t Failure,Heart Failure
794.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Pneumonia Patients Assessed and Given Influenza Vaccination
5901.emergencyservice,****N*o,No
5872.hospitalname,FAY*ETTEVILL**E *AR VA MEDICAL CENTE*R,FAYETTEVILLE AR VA MEDICAL CENTER
2071.emergencyservice,***N**o,No
2035.stateavg,AL_SCIP-CARD-2,AL_HF-4
2510.phonenumber,2053258100,2518472223
98.phonenumber,2053258100,3344933541
1746.condition,S*urgic*al Infec*tion Preve**ntion,Surgical Infection Prevention
2697.condition,He*art** Atta*c*k,Heart Attack
2081.stateavg,AL_SCIP-CARD-2,AL_AMI-8A
1903.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Heart Attack Patients Given Smoking Cessation Advice/Counseling
5892.hospitaltype,A*c**ute* C*are - VA Medical Center,Acute Care - VA Medical Center
1908.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
24.stateavg,AK_PN-7,AL_AMI-5
2254.hospitalname,CALLAHAN EYE FOUNDATION HOSPITAL,BIRMINGHAM VA MEDICAL CENTER
4527.hospitalname,VA S. A**RIZONA H*E*ALTHCARE* SYSTEM,VA S. ARIZONA HEALTHCARE SYSTEM
6901.emergencyservice,***N**o,No
2724.state,*A****K,AK
1708.emergencyservice,****N*o,No
4573.emergencyservice,*****No,No
1979.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Heart Attack Patients Given Beta Blocker at Discharge
2748.state,A*****K,AK
2786.state,***A**K,AK
2256.emergencyservice,****N*o,No
2446.phonenumber,2053258100,2513682500
40.stateavg,AK_PN-7,AL_SCIP-INF-3
