ProviderNumber(String),HospitalName(String),City(String),State(String),ZIPCode(String),CountyName(String),PhoneNumber(String),HospitalType(String),HospitalOwner(String),EmergencyService(String),Condition(String),MeasureCode(String),MeasureName(String),Sample(String),StateAvg(String)
10018,CALLAHAN EYE FOUNDATION HOSPITAL,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,NULL,AL_SCIP-CARD-2
10018,CALLAHAN EYE FOUNDATION HOSPITAL,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,NULL,AL_SCIP-INF-1
10018,CALLAHAN EYE FOUNDATION HOSPITAL,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,NULL,AK_PN-7
10018,CALLAHAN EYE FOUNDATION HOSPITAL,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),NULL,AK_PN-7
10018,CALLAHAN EYE FOUNDATION HOSPITAL,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,NULL,AK_PN-7
10018,CALLAHAN EYE FOUNDATION HOSPITAL,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream - not a razor),NULL,AK_PN-7
10018,CALLAHAN EYE FOUNDATION HOSPITAL,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,NULL,AK_PN-7
10018,CALLAHAN EYE FOUNDATION HOSPITAL,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,NULL,AK_PN-7
10019,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,35660,JEFFERSON,2563864556,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,33 patients,AK_PN-7
10019,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,35660,JEFFERSON,2563864556,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,13 patients,AK_PN-7
10019,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,35660,JEFFERSON,2563864556,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),4 patients,AK_PN-7
10019,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,35660,JEFFERSON,2563864556,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,4 patients,AK_PN-7
10019,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,35660,JEFFERSON,2563864556,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,14 patients,AK_PN-7
10019,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,35660,JEFFERSON,2563864556,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,0 patients,AK_PN-7
10019,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,35660,JEFFERSON,2563864556,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,0 patients,AK_PN-7
10019,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,35660,JEFFERSON,2563864556,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,114 patients,AK_PN-7
