attribute,wrong_val,correct_val
2.act_arr_time,unknown,10:30 p.m.
3.act_dep_time,unknown,6:30 p.m.
3.act_arr_time,unknown,7:25 p.m.
6.act_dep_time,unknown,11:25 p.m.
6.sched_arr_time,12/02/2011 6:55 a.m.,6:55 a.m.
6.act_arr_time,unknown,6:55 a.m.
32.act_dep_time,unknown,11:55 p.m.
32.sched_arr_time,12/02/2011 5:50 a.m.,5:50 a.m.
32.act_arr_time,unknown,5:50 a.m.
33.act_dep_time,unknown,9:00 p.m.
33.sched_arr_time,12/02/2011 12:15 a.m.,12:15 a.m.
33.act_arr_time,unknown,12:15 a.m.
34.act_dep_time,unknown,8:25 p.m.
34.act_arr_time,unknown,11:50 p.m.
37.act_dep_time,unknown,1:30 p.m.
37.act_arr_time,unknown,3:50 p.m.
38.act_arr_time,unknown,9:20 p.m.
51.sched_dep_time,unknown,7:10 a.m.
51.sched_arr_time,unknown,9:40 a.m.
51.act_arr_time,9:22 a.m.,9:32 a.m.
52.act_dep_time,unknown,7:14 p.m.
52.act_arr_time,unknown,10:29 p.m.
53.sched_dep_time,unknown,6:40 a.m.
53.sched_arr_time,unknown,9:25 a.m.
53.act_arr_time,9:14 a.m.,9:28 a.m.
54.sched_dep_time,unknown,8:00 a.m.
54.act_dep_time,8:48 a.m.,8:29 a.m.
54.sched_arr_time,unknown,11:55 a.m.
54.act_arr_time,11:30 a.m.,11:58 a.m.
55.sched_dep_time,unknown,8:41 a.m.
55.act_dep_time,9:00 a.m.,8:42 a.m.
55.sched_arr_time,unknown,9:54 a.m.
55.act_arr_time,9:29 a.m.,9:43 a.m.
56.sched_dep_time,unknown,7:45 p.m.
56.act_dep_time,7:59 p.m.,7:58 p.m.
56.sched_arr_time,unknown,10:30 p.m.
56.act_arr_time,10:31 p.m.,10:30 p.m.
57.sched_dep_time,unknown,3:27 p.m.
57.act_dep_time,3:50 p.m.,3:27 p.m.
57.sched_arr_time,unknown,5:05 p.m.
57.act_arr_time,5:14 p.m.,5:17 p.m.
58.act_dep_time,unknown,11:32 a.m.
58.act_arr_time,unknown,3:31 p.m.
59.sched_dep_time,unknown,11:25 a.m.
59.act_dep_time,11:41 a.m.,11:40 a.m.
59.sched_arr_time,unknown,5:25 p.m.
59.act_arr_time,4:54 p.m.,4:56 p.m.
60.sched_dep_time,unknown,10:39 a.m.
60.act_dep_time,10:53 a.m.,10:33 a.m.
60.sched_arr_time,unknown,11:19 a.m.
60.act_arr_time,11:11 a.m.,11:21 a.m.
61.sched_dep_time,unknown,11:25 p.m.
61.act_dep_time,11:29 p.m.,11:25 p.m.
61.sched_arr_time,unknown,6:55 a.m.
61.act_arr_time,12/2/11 6:35 a.m.,6:55 a.m.
62.sched_dep_time,unknown,6:00 a.m.
62.act_dep_time,6:10 a.m.,5:56 a.m.
62.sched_arr_time,unknown,7:23 a.m.
62.act_arr_time,7:04 a.m.,7:17 a.m.
63.act_dep_time,unknown,12:41 a.m.
63.act_arr_time,unknown,5:26 a.m.
64.sched_dep_time,unknown,4:00 p.m.
64.act_dep_time,4:10 p.m.,4:00 p.m.
64.sched_arr_time,unknown,6:46 p.m.
64.act_arr_time,6:25 p.m.,6:28 p.m.
65.act_dep_time,unknown,7:29 a.m.
65.act_arr_time,unknown,9:14 a.m.
66.act_dep_time,unknown,10:19 a.m.
66.act_arr_time,unknown,1:19 p.m.
67.sched_dep_time,unknown,9:05 a.m.
67.act_dep_time,10:11 a.m.,10:10 a.m.
67.sched_arr_time,unknown,12:35 p.m.
67.act_arr_time,1:11 p.m.,1:27 p.m.
68.sched_dep_time,unknown,8:15 a.m.
68.act_dep_time,8:26 a.m.,8:12 a.m.
68.sched_arr_time,unknown,10:06 a.m.
69.sched_dep_time,unknown,7:00 a.m.
69.sched_arr_time,unknown,9:55 a.m.
69.act_arr_time,9:29 a.m.,9:45 a.m.
70.sched_dep_time,unknown,4:15 p.m.
70.sched_arr_time,unknown,7:55 p.m.
70.act_arr_time,7:37 p.m.,7:39 p.m.
71.sched_dep_time,unknown,10:45 a.m.
71.act_dep_time,10:54 a.m.,10:55 a.m.
71.sched_arr_time,unknown,2:20 p.m.
71.act_arr_time,1:36 p.m.,1:40 p.m.
72.act_dep_time,unknown,2:48 p.m.
72.act_arr_time,unknown,7:10 p.m.
73.act_dep_time,unknown,8:00 a.m.
73.act_arr_time,unknown,11:32 a.m.
74.sched_dep_time,unknown,2:55 p.m.
74.act_dep_time,3:04 p.m.,2:55 p.m.
74.sched_arr_time,unknown,5:00 p.m.
74.act_arr_time,4:43 p.m.,4:47 p.m.
75.sched_dep_time,unknown,11:50 a.m.
75.act_dep_time,12:13 p.m.,12:12 p.m.
75.sched_arr_time,unknown,3:50 p.m.
75.act_arr_time,4:08 p.m.,4:09 p.m.
76.act_dep_time,unknown,11:56 a.m.
76.act_arr_time,unknown,1:14 p.m.
77.sched_dep_time,unknown,6:00 a.m.
77.act_dep_time,6:09 a.m.,6:08 a.m.
77.sched_arr_time,unknown,9:20 a.m.
77.act_arr_time,8:50 a.m.,9:05 a.m.
78.sched_dep_time,unknown,11:05 a.m.
78.act_dep_time,11:45 a.m.,11:30 a.m.
78.sched_arr_time,unknown,4:57 p.m.
78.act_arr_time,5:00 p.m.,5:05 p.m.
79.act_dep_time,unknown,6:02 a.m.
79.act_arr_time,unknown,10:27 a.m.
80.act_dep_time,unknown,8:40 a.m.
80.act_arr_time,unknown,10:56 a.m.
81.sched_dep_time,unknown,10:15 a.m.
81.act_dep_time,10:19 a.m.,10:18 a.m.
81.sched_arr_time,unknown,12:10 p.m.
81.act_arr_time,11:50 a.m.,11:56 a.m.
82.sched_dep_time,unknown,1:00 p.m.
82.act_dep_time,2:03 p.m.,2:04 p.m.
82.sched_arr_time,unknown,2:35 p.m.
82.act_arr_time,3:13 p.m.,3:30 p.m.
83.sched_dep_time,unknown,7:53 a.m.
83.act_dep_time,8:07 a.m.,7:49 a.m.
83.sched_arr_time,unknown,1:39 p.m.
83.act_arr_time,1:23 p.m.,1:30 p.m.
84.sched_dep_time,unknown,12:30 p.m.
84.act_dep_time,12:56 p.m.,12:35 p.m.
84.sched_arr_time,unknown,3:19 p.m.
84.act_arr_time,3:09 p.m.,3:21 p.m.
85.sched_dep_time,unknown,11:45 a.m.
85.act_dep_time,12:14 p.m.,12:13 p.m.
85.sched_arr_time,unknown,2:00 p.m.
85.act_arr_time,1:55 p.m.,2:10 p.m.
86.sched_dep_time,unknown,2:30 p.m.
86.act_dep_time,2:43 p.m.,2:26 p.m.
86.sched_arr_time,unknown,6:15 p.m.
86.act_arr_time,5:22 p.m.,5:42 p.m.
87.sched_dep_time,unknown,12:00 a.m.
87.act_dep_time,12:07 p.m.,3:11 a.m.
87.sched_arr_time,unknown,1:45 p.m.
87.act_arr_time,1:11 p.m.,1:15 p.m.
88.act_dep_time,unknown,5:22 p.m.
88.act_arr_time,unknown,8:03 p.m.
89.act_dep_time,unknown,8:25 p.m.
89.act_arr_time,unknown,9:52 p.m.
90.sched_dep_time,unknown,10:40 a.m.
90.act_dep_time,11:06 a.m.,11:05 a.m.
90.sched_arr_time,unknown,2:45 p.m.
90.act_arr_time,2:39 p.m.,2:46 p.m.
91.sched_dep_time,unknown,12:57 p.m.
91.act_dep_time,1:43 p.m.,1:32 p.m.
91.sched_arr_time,unknown,5:15 p.m.
91.act_arr_time,5:24 p.m.,5:34 p.m.
92.act_dep_time,unknown,3:36 p.m.
92.act_arr_time,unknown,3:33 p.m.
93.sched_dep_time,unknown,7:15 a.m.
93.act_dep_time,7:22 a.m.,7:21 a.m.
93.sched_arr_time,unknown,10:35 a.m.
93.act_arr_time,10:34 a.m.,10:36 a.m.
94.sched_dep_time,unknown,6:30 p.m.
94.act_dep_time,6:47 p.m.,6:30 p.m.
