tuple_id(String),src(String),flight(String),sched_dep_time(String),act_dep_time(String),sched_arr_time(String),act_arr_time(String)
1,aa,aa-3859-iah-ord,7:10 a.m.,7:16 a.m.,9:40 a.m.,9:32 a.m.
2,aa,aa-1733-ord-phx,7:45 p.m.,7:58 p.m.,10:30 p.m.,unknown
3,aa,aa-1640-mia-mco,6:30 p.m.,unknown,7:25 p.m.,unknown
4,aa,aa-518-mia-jfk,6:40 a.m.,6:54 a.m.,9:25 a.m.,9:28 a.m.
5,aa,aa-3756-ord-slc,12:15 p.m.,12:41 p.m.,2:45 p.m.,2:50 p.m.
6,aa,aa-204-lax-mco,11:25 p.m.,unknown,12/02/2011 6:55 a.m.,unknown
7,aa,aa-3468-cvg-mia,7:00 a.m.,7:25 a.m.,9:55 a.m.,9:45 a.m.
8,aa,aa-484-dfw-mia,4:15 p.m.,4:29 p.m.,7:55 p.m.,7:39 p.m.
9,aa,aa-446-dfw-phl,11:50 a.m.,12:12 p.m.,3:50 p.m.,4:09 p.m.
10,aa,aa-466-iah-mia,6:00 a.m.,6:08 a.m.,9:20 a.m.,9:05 a.m.
11,aa,aa-1886-bos-mia,10:45 a.m.,10:55 a.m.,2:20 p.m.,1:40 p.m.
12,aa,aa-2957-dfw-cvg,7:55 a.m.,8:04 a.m.,11:05 a.m.,11:01 a.m.
13,aa,aa-1664-mia-atl,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
14,aa,aa-3979-cvg-ord,7:30 a.m.,8:04 a.m.,8:00 a.m.,8:06 a.m.
15,aa,aa-1279-dfw-phx,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
16,aa,aa-616-dfw-dtw,9:05 a.m.,10:10 a.m.,12:35 p.m.,1:27 p.m.
17,aa,aa-4344-ord-dtw,11:45 a.m.,12:13 p.m.,2:00 p.m.,2:10 p.m.
18,aa,aa-2525-dfw-mia,7:25 a.m.,7:39 a.m.,11:10 a.m.,11:06 a.m.
19,aa,aa-404-mia-mco,6:45 a.m.,6:57 a.m.,7:45 a.m.,7:40 a.m.
20,aa,aa-271-mia-lax,11:35 a.m.,11:52 a.m.,2:25 p.m.,2:27 p.m.
21,aa,aa-2050-ord-mia,10:40 a.m.,11:05 a.m.,2:45 p.m.,2:46 p.m.
22,aa,aa-4330-cvg-ord,3:35 p.m.,3:36 p.m.,4:00 p.m.,3:33 p.m.
23,aa,aa-1434-dfw-mco,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
24,aa,aa-4307-ord-dtw,6:45 p.m.,6:55 p.m.,9:10 p.m.,8:53 p.m.
25,aa,aa-3-jfk-lax,12:00 p.m.,12:11 p.m.,3:15 p.m.,3:16 p.m.
26,aa,aa-3842-msp-ord,6:00 a.m.,6:56 a.m.,7:30 a.m.,7:51 a.m.
27,aa,aa-643-mia-ord,7:10 a.m.,7:30 a.m.,9:35 a.m.,9:31 a.m.
28,aa,aa-1007-mia-phx,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
29,aa,aa-1221-mco-ord,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
