attribute,wrong_val,correct_val
8965.ticker,A,APOL
3162.volume,400762,127263
2892.close,31.08,31.29
451.volume,598487,252436
4629.close,32.45,30.74
9609.high,60.4,50.3
4365.date,20091218,20091027
5254.volume,49363,65528
1853.date,20100316,20100719
8598.close,70.17,71.32
3076.close,43.02,36.17
3393.date,20091008,20091113
7942.date,20091215,20100624
5959.volume,54123,329251
6519.ticker,A,AMP
48.date,20090831,20091105
5579.date,20100428,20091014
460.volume,283628,210155
4933.volume,296586,29882
5566.date,20090915,20090925
4676.date,20100802,20100209
853.date,20100222,20100224
8580.high,34.84,75.96
7331.date,20100420,20091229
689.volume,54585,279889
215.volume,56186,36609
5277.date,20090928,20100722
4573.close,62.85,28.12
796.high,104.38,24.95
6922.volume,296747,20681
7506.open,30.77,30.65
8128.volume,81214,38478
5869.volume,54884,90303
8310.high,26.25,64.95
9667.low,68.2301,74.43
2926.date,20100303,20091217
8731.high,38.46,38.42
1521.volume,210110,62623
1806.volume,56186,48624
8280.high,92.62,63.23
6191.volume,170424,243432
9287.high,45.68,65.63
7624.date,20100315,20100310
5.volume,30891,70176
4323.ticker,A,AIV
4707.volume,294546,14336
9876.close,43.53,107.06
3109.volume,199004,114000
8677.close,35.36,67.32
1766.date,20100331,20100315
3820.high,34.42,51.16
6768.close,29.23,31.09
14.date,20090831,20090911
6355.high,34.97,57.92
2749.date,20100614,20100329
256.volume,399788,177572
8447.high,48.14,49.35
2170.high,21.77,42.32
6274.ticker,AMAT,AMGN
2892.low,30.53,30.83
462.volume,304187,391034
2701.date,20100819,20100119
2036.date,20100405,20100420
1762.volume,579178,40110
5982.volume,441903,186749
3510.date,20090930,20100505
3450.high,29.68,30.33
20.date,20090831,20090921
6764.ticker,A,AMT
7682.date,20091124,20100602
5764.open,27.39,27.43
7934.high,43.81,39.25
4387.volume,314982,36622
2988.volume,113267,39386
9613.close,48.58,44.47
6865.close,26.78,42.45
9405.ticker,A,ATI
7288.close,36.47,20.56
7479.date,20091207,20100802
9647.close,37.81,43.7
64.close,33.22,28.92
389.date,20091009,20100326
5822.date,20091111,20091015
3158.high,30.74,12.91
7824.high,37.8,37.85
7965.close,35.65,36.65
7588.close,38.05,32.58
1783.date,20100819,20100408
283.volume,289201,279387
3347.date,20091020,20090901
263.volume,27229,404616
9069.low,59.64,59.4
5958.volume,400762,375435
5982.date,20090928,20100616
199.date,20090828,20100615
233.date,20090828,20100803
4710.volume,86154,8775
470.volume,261317,258437
5531.high,28.75,28.825
5741.date,20100105,20100618
7506.high,30.94,31.561
8649.close,20.93,69.57
212.date,20090828,20100702
4751.volume,80307,19511
35.date,20090831,20091012
5248.volume,141725,75798
8847.date,20100625,20100309
483.date,20100601,20100810
2596.date,20100311,20100809
505.volume,289746,115003
7911.volume,184304,14677
5821.volume,321215,309794
703.volume,39694,154847
214.date,20090828,20100707
4389.volume,87852,23966
4695.volume,579178,13089
5301.ticker,A,ALL
8798.date,20090827,20091224
1971.high,31.24,30.97
9007.close,29.06,72.97
33.date,20090831,20091008
9669.high,37.87,76.31
5249.volume,409203,77996
7883.date,20100406,20100331
5818.date,20091120,20091009
2987.volume,143300,24028
4783.date,20091109,20100714
4365.volume,234178,25686
3548.low,26.76,26.73
2997.high,34.87,34.64
7634.low,43.95,44.23
5876.volume,572085,403508
8073.close,28.29,106.91
447.volume,598487,214299
2992.volume,294546,22977
7908.date,20091117,20100506
430.volume,598487,485857
5473.high,24.04,33.2
864.volume,43907,16787
6786.date,20091113,20090929
5256.volume,238356,68469
503.volume,289746,175404
3444.high,30.31,30.54
1516.date,20100419,20100305
5283.volume,245027,74905
5289.volume,67480,41014
7678.date,20100125,20100526
142.volume,137575,27120
445.volume,598487,164565
663.volume,39694,351537
229.date,20090828,20100728
960.volume,56186,83817
7928.high,31.85,39.44
850.volume,21000,38623
2761.date,20100628,20100415
725.volume,39694,221447
9650.ticker,A,AVB
206.date,20090828,20100624
9853.close,45.73,96.17
5352.high,29.5,29.62
376.volume,505768,334797
4371.date,20091210,20091111
7728.date,20100709,20100806
7627.close,43.45,43.44
6103.date,20100706,20091216
842.high,27.2,27.19
3768.close,28.63,42.22
29.date,20090831,20091002
7819.high,33.21,39.12
5275.volume,352454,113265
701.volume,39694,233771
3173.volume,309389,34964
9162.high,105.25,49.53
4181.high,24.05,24.4
227.date,20090828,20100726
3143.volume,271490,126622
9647.high,38.34,45.02
568.volume,270196,218704
4372.volume,440230,20648
4703.date,20100209,20100319
4926.date,20100128,20100218
5271.volume,310787,176108
1779.date,20100329,20100401
495.ticker,A,AAPL
7661.high,44.3,45.32
8622.high,20.22,74.85
4611.date,20091111,20091028
2712.date,20091016,20100203
8549.high,54.56,81.8
392.volume,378109,233288
3021.low,30.24,28.17
208.date,20090828,20100628
3806.high,27.69,46.91
7267.close,20.18,17.93
27.date,20090831,20090930
5574.high,148.0,20.73
479.volume,598487,218948
7495.ticker,A,ANF
6372.date,20091215,20100125
1281.ticker,A,ACS
9866.ticker,ARG,AVB
2991.close,33.9,33.99
1949.low,30.25,30.4
6600.high,15.829999999999998,39.09
6118.date,20091222,20100108
8037.close,22.31,100.62
4567.ticker,A,AIZ
235.date,20090828,20100805
428.volume,598487,436785
6925.volume,335388,29438
46.date,20090831,20091027
5637.date,20091015,20100119
6905.close,26.1,42.77
5940.close,14.31,14.34
5430.low,31.4,31.36
8963.close,41.98,64.56
8121.close,40.3,101.6
5357.open,29.32,29.5
491.volume,145331,148597
3274.volume,81456,112153
4772.date,20091110,20100628
7963.open,37.58,36.45
4391.volume,314982,24109
2971.high,18.34,33.94
3107.volume,316831,41359
7900.close,34.37,43.81
402.volume,352454,302926
104.date,20100728,20100128
8051.high,29.43,93.24
8679.high,62.0,69.07
7250.ticker,A,AN
1895.volume,56186,61877
718.volume,39694,160162
2406.close,39.3,26.58
542.volume,172977,158599
853.volume,21000,26524
3548.high,28.37,27.81
1885.low,27.47,27.52
5796.volume,44737,173321
8357.high,34.77,71.78
8817.high,33.02,41.14
519.volume,289489,197655
110.volume,56186,68287
808.volume,66422,42083
9679.high,45.53,71.24
4358.high,37.7,15.52
2167.close,41.49,40.23
3189.volume,543173,43208
9709.date,20091007,20091125
2924.date,20100308,20091215
3129.volume,41185,32921
5315.date,20091229,20090917
5326.high,31.7,31.25
5942.volume,1006917,256949
6520.open,29.56,29.8
544.volume,426330,173287
9385.high,28.57,65.92
2588.high,29.37,29.29
5754.low,26.42,26.4
231.date,20090828,20100730
250.ticker,A,AA
4640.date,20100809,20091216
197.date,20090828,20100611
1235.date,20100730,20100618
8963.ticker,ALTR,APOL
4568.ticker,A,AIZ
514.volume,187396,159102
5287.date,20091207,20100805
5788.volume,68290,237502
5812.low,12.9,12.88
8471.high,35.9,50.06
8228.ticker,AMAT,APC
7592.low,29.92,29.88
1233.date,20100414,20100616
1635.ticker,A,ADI
1511.high,30.03,34.7
9287.close,44.98,64.78
58.volume,56186,22134
37.date,20090831,20091014
7375.date,20090916,20100304
4709.low,34.09,33.99
6369.high,31.05,57.62
5893.low,11.46,11.68
216.date,20090828,20100709
7650.date,20100129,20100416
6779.date,20091014,20090918
7802.high,44.43,38.76
488.volume,304187,228152
2991.high,34.11,34.21
190.date,20090828,20100602
7975.low,37.195,37.33
739.date,20090828,20090901
2283.volume,170424,24271
8969.high,33.74,65.78
7320.date,20100317,20091211
1880.ticker,A,ADM
8229.ticker,A,APC
1641.volume,21000,39803
8087.volume,46393,25009
2105.date,20100219,20100728
609.volume,270196,139580
6587.high,37.81,37.98
8621.high,55.09,74.69
2294.volume,184304,35617
472.volume,598487,264268
607.volume,172977,151008
6589.high,26.06,39.11
9894.ticker,ALTR,AVP
3150.volume,553738,59204
6919.high,34.97,42.08
8236.low,53.42,53.57
222.date,20090828,20100719
9493.high,38.56,50.92
664.volume,39694,303696
9334.high,62.0,63.77
3179.volume,505768,24999
2591.high,30.26,31.06
394.volume,203873,312994
6115.date,20100104,20100105
6784.close,29.76,36.39
4603.date,20091207,20091016
976.volume,56186,25710
8124.volume,294546,45990
7074.volume,101271,80068
5952.volume,49363,174614
8279.high,13.92,65.03
8474.ticker,A,APD
5807.date,20090902,20090924
2588.low,28.59,28.4101
949.date,20100614,20100713
4629.date,20100607,20091201
7483.date,20100730,20100806
9938.close,34.01,34.05
569.volume,407514,124826
8902.close,44.08,41.22
5442.close,35.17,32.26
2195.high,40.11,43.5
6151.date,20100202,20100226
4632.close,30.6,30.56
194.date,20090828,20100608
2497.date,20100415,20100316
220.volume,44547,41337
5429.high,26.56,31.75
6743.high,35.36,39.1
867.volume,29750,42108
241.date,20090828,20100813
7251.ticker,A,AN
9895.ticker,A,AVP
4921.volume,316333,27166
6803.open,40.285,38.96
5851.volume,68290,200643
9173.close,37.32,42.97
682.volume,39694,316779
9807.high,38.07,94.09
43.date,20090831,20091022
1714.open,33.26,31.73
4204.low,29.325,28.65
375.volume,409203,324706
5253.volume,1006917,68810
8447.close,47.07,47.46
4741.high,55.56,37.55
9406.ticker,A,ATI
7824.low,36.87,37.51
7593.date,20091215,20100125
9862.high,14.66,98.21
1941.date,20100518,20091201
2984.volume,436721,22116
7676.volume,76546,31096
1847.volume,56186,20781
475.volume,304187,144207
3377.date,20091113,20091015
2751.date,20091217,20100331
3070.date,20100505,20100716
2079.date,20100513,20100621
526.volume,156503,124292
3119.volume,367498,37343
413.volume,203827,293020
7403.date,20100305,20100414
369.volume,553738,247614
5748.date,20100210,20100629
8918.date,20100324,20100618
3189.date,20100317,20100114
8884.high,35.96,47.0
606.volume,172977,155855
8262.high,25.54,68.21
459.volume,283628,217702
4711.volume,81214,10918
5882.volume,342244,252659
7783.high,16.11,41.14
5428.volume,579178,40495
3008.high,29.31,33.81
4131.open,36.7,36.05
9353.high,29.39,63.1
7670.date,20100621,20100514
24.date,20090831,20090925
223.date,20090828,20100720
9356.high,31.82,63.39
510.volume,196742,156327
5953.volume,441903,372691
2853.ticker,A,AEP
7612.high,32.69,35.71
4131.high,36.78,36.75
3104.volume,440230,39899
1781.date,20100126,20100406
6763.ticker,A,AMT
2506.date,20100301,20100329
453.volume,585630,191069
5381.low,30.22,30.14
9116.high,38.05,64.21
5871.volume,289201,151737
9338.high,35.25,62.97
38.date,20090831,20091015
1745.volume,311526,80662
5894.date,20090831,20100208
490.volume,283628,168391
7459.low,18.53,18.78
329.high,16.84,16.28
3581.date,20100126,20100816
660.volume,39694,315393
3450.low,29.13,29.17
409.volume,365988,217772
5822.volume,141725,163529
8964.ticker,A,APOL
9813.volume,242883,10571
5317.high,26.55,30.57
3559.high,28.3,28.28
3402.date,20100329,20091127
4077.ticker,A,AIG
8149.volume,119059,144875
5787.ticker,A,AMAT
4131.close,36.59,36.16
5445.close,43.13,32.49
520.volume,212157,150152
254.volume,347645,260225
8181.high,61.25,99.11
19.date,20090831,20090918
654.volume,54585,253336
981.ticker,A,ABT
5850.low,12.915,13.04
9465.date,20100419,20091127
5821.date,20090824,20091014
2145.high,36.07,39.53
3414.high,23.65,33.39
9791.high,29.83,88.92
8090.volume,59560,27427
252.volume,399788,227035
4364.volume,314982,23732
373.volume,203827,294544
2474.volume,316333,26896
9922.close,34.73,32.79
3176.volume,485827,15239
4864.date,20100708,20091117
2730.volume,181921,12530
9510.close,55.34,43.14
6792.high,29.85,37.24
410.date,20090824,20100427
9577.close,40.37,53.46
590.volume,172977,380606
9388.date,20100729,20100730
3140.volume,371891,93101
8728.close,60.36,37.75
4938.date,20100125,20100308
378.volume,494175,266185
680.volume,54585,232199
9827.volume,81456,14268
4182.date,20100128,20100203
146.volume,86154,42777
436.volume,598487,256174
7859.date,20091002,20100225
4883.high,34.7,25.7
3411.low,30.22,30.59
8520.high,33.21,80.94
9660.close,18.2,69.04
3169.volume,505768,106251
485.volume,283628,194741
4706.close,31.36,33.48
3270.close,10.25,11.11
5233.volume,79512,134702
2463.volume,85855,34836
61.volume,56186,15502
