attribute,wrong_val,correct_val
1329.haschild,N,Y
1051.haschild,N,Y
4041.marriedexemp,0,3000
8582.state,*L****A,LA
1791.singleexemp,*****0,0
2038.areacode,567,715
477.zip,43721,85043
8221.singleexemp,*****0,0
3763.state,FL,OH
6948.maritalstatus,M,S
3987.marriedexemp,0,3000
7653.state,**L***A,LA
2.zip,84629,69354
2496.state,***D**C,DC
324.areacode,863,563
2827.salary,13501.0,1000
1859.singleexemp,*****0,0
3938.state,**G***A,GA
3697.maritalstatus,S,M
322.areacode,863,913
2036.areacode,567,939
412.state,FL,SC
4236.marriedexemp,0,3000
1353.haschild,N,Y
413.state,FL,LA
749.zip,43721,2641
1936.singleexemp,*****0,0
8304.marriedexemp,*****0,0
2580.areacode,567,251
745.zip,43721,19961
7787.marriedexemp,*****0,0
5634.city,*LI***HU*E,LIHUE
3752.marriedexemp,0,3000
338.zip,43721,3862
6606.marriedexemp,*****0,0
7503.salary,41501.0,22500
8649.marriedexemp,2*7****40,2740
5.zip,84629,74552
3748.marriedexemp,0,3000
8457.singleexemp,*****0,0
1889.singleexemp,*****0,0
339.zip,43721,34105
329.areacode,863,856
475.zip,43721,71032
9890.state,***L**A,LA
5478.maritalstatus,S,M
746.zip,43721,1254
2579.areacode,567,814
8208.childexemp,*****0,0
1718.haschild,N,Y
6134.state,**L***A,LA
2581.areacode,567,304
6596.lname,Koshimizu,Pelezar
3.zip,43721,32111
4587.city,MENDENHALL,WAITSFIELD
3607.maritalstatus,S,M
9837.city,L*IN**C*OL*N,LINCOLN
747.zip,43721,90036
8222.childexemp,*****0,0
6933.maritalstatus,M,S
4640.salary,65001.0,16500
2037.areacode,567,701
1979.state,N*****E,NE
1615.maritalstatus,M,S
748.zip,43721,38848
2359.state,***D**C,DC
8292.singleexemp,*****0,0
5686.rate,2.4,3.4
5721.rate,6.0,7.0
8190.singleexemp,*****0,0
1503.maritalstatus,M,S
2490.state,***D**C,DC
415.state,FL,WI
332.zip,43721,33571
414.state,FL,WI
2020.state,*****DC,DC
3762.state,FL,IL
8154.childexemp,*****0,0
6152.marriedexemp,*****0,0
7115.maritalstatus,M,S
5602.lname,Koshimizu,Snedden
6957.lname,Koshimizu,Uejio
5981.salary,13001.0,10000
9317.city,WAKITA,WARWICK
5691.rate,-1.0,0.0
319.areacode,863,270
1882.singleexemp,*****0,0
3709.lname,Koshimizu,Arrabito
411.state,FL,MN
1258.maritalstatus,M,S
476.zip,43721,21285
2041.areacode,567,304
3774.state,FL,VA
1022.haschild,N,Y
2571.areacode,567,256
8389.marriedexemp,27**4***0,2740
8545.marriedexemp,***27**40,2740
6.zip,43721,32117
8575.city,WAKITA,CASSVILLE
321.areacode,863,302
8222.marriedexemp,**2*7*4*0,2740
341.zip,43721,64089
9225.maritalstatus,S,M
2040.areacode,567,620
479.zip,43721,83436
4.zip,83606,47854
8218.singleexemp,*****0,0
1572.salary,99001.0,41000
7834.state,****H*I,HI
7039.city,LONSDALE,CALEXICO
9401.state,L*****A,LA
334.zip,43721,48703
5731.rate,5.84,6.84
1540.maritalstatus,M,S
9776.marriedexemp,*****0,0
4334.city,LONSDALE,GALVA
3764.state,FL,ND
4427.city,*LI**NC**H,LINCH
5409.lname,Koshimizu,Kroeker
7708.city,LI*N***CO*LN,LINCOLN
3766.state,FL,DC
8047.childexemp,*****0,0
8687.marriedexemp,2***74**0,2740
7092.maritalstatus,M,S
2574.areacode,567,802
5676.rate,-1.0,0.0
8389.childexemp,*****0,0
1373.maritalstatus,M,S
478.zip,43721,29305
5071.maritalstatus,S,M
6920.maritalstatus,M,S
2057.state,D*****C,DC
4932.state,*****AZ,AZ
8415.city,L*IN**CO*L*N,LINCOLN
