age(String),workclass(String),fnlwgt(String),education(String),education_num(String),marital_status(String),occupation(String),relationship(String),race(String),sex(String),capital_gain(String),capital_loss(String),hours_per_week(String),nativecountry(String),class(String)
39,state-gov,77516,bachelors,13,never-married,adm-clerical,not-in-family,white,male,2174,0,40,united-states,<=50k
50,self-emp-not-inc,83311,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,13,united-states,<=50k
38,private,215646,hs-grad,9,divorced,handlers-cleaners,not-in-family,white,male,0,0,40,united-states,<=50k
53,private,234721,11th,7,married-civ-spouse,handlers-cleaners,husband,black,male,0,0,40,united-states,<=50k
28,private,338409,bachelors,13,married-civ-spouse,prof-specialty,wife,black,female,0,0,40,cuba,<=50k
37,private,284582,masters,14,married-civ-spouse,exec-managerial,wife,white,female,0,0,40,united-states,<=50k
49,private,160187,9th,5,married-spouse-absent,other-service,not-in-family,black,female,0,0,16,jamaica,<=50k
52,self-emp-not-inc,209642,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,45,united-states,>50k
31,private,45781,masters,14,never-married,prof-specialty,not-in-family,white,female,14084,0,50,united-states,>50k
42,private,159449,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,5178,0,40,united-states,>50k
37,private,280464,some-college,10,married-civ-spouse,exec-managerial,husband,black,male,0,0,80,united-states,>50k
30,state-gov,141297,bachelors,13,married-civ-spouse,prof-specialty,husband,asian-pac-islander,male,0,0,40,india,>50k
23,private,122272,bachelors,13,never-married,adm-clerical,own-child,white,female,0,0,30,united-states,<=50k
32,private,205019,assoc-acdm,12,never-married,sales,not-in-family,black,male,0,0,50,united-states,<=50k
40,private,121772,assoc-voc,11,married-civ-spouse,craft-repair,husband,asian-pac-islander,male,0,0,40,?,>50k
34,private,245487,7th-8th,4,married-civ-spouse,transport-moving,husband,amer-indian-eskimo,male,0,0,45,mexico,<=50k
25,self-emp-not-inc,176756,hs-grad,9,never-married,farming-fishing,own-child,white,male,0,0,35,united-states,<=50k
32,private,186824,hs-grad,9,never-married,machine-op-inspct,unmarried,white,male,0,0,40,united-states,<=50k
38,private,28887,11th,7,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,<=50k
43,self-emp-not-inc,292175,masters,14,divorced,exec-managerial,unmarried,white,female,0,0,45,united-states,>50k
40,private,193524,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,0,0,60,united-states,>50k
54,private,302146,hs-grad,9,separated,other-service,unmarried,black,female,0,0,20,united-states,<=50k
35,federal-gov,76845,9th,5,married-civ-spouse,farming-fishing,husband,black,male,0,0,40,united-states,<=50k
43,private,117037,11th,7,married-civ-spouse,transport-moving,husband,white,male,0,2042,40,united-states,<=50k
59,private,109015,hs-grad,9,divorced,tech-support,unmarried,white,female,0,0,40,united-states,<=50k
56,local-gov,216851,bachelors,13,married-civ-spouse,tech-support,husband,white,male,0,0,40,united-states,>50k
19,private,168294,hs-grad,9,never-married,craft-repair,own-child,white,male,0,0,40,united-states,<=50k
54,?,180211,some-college,10,married-civ-spouse,?,husband,asian-pac-islander,male,0,0,60,south,>50k
39,private,367260,hs-grad,9,divorced,exec-managerial,not-in-family,white,male,0,0,80,united-states,<=50k
49,private,193366,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
23,local-gov,190709,assoc-acdm,12,never-married,protective-serv,not-in-family,white,male,0,0,52,united-states,<=50k
20,private,266015,some-college,10,never-married,sales,own-child,black,male,0,0,44,united-states,<=50k
45,private,386940,bachelors,13,divorced,exec-managerial,own-child,white,male,0,1408,40,united-states,<=50k
30,federal-gov,59951,some-college,10,married-civ-spouse,adm-clerical,own-child,white,male,0,0,40,united-states,<=50k
22,state-gov,311512,some-college,10,married-civ-spouse,other-service,husband,black,male,0,0,15,united-states,<=50k
48,private,242406,11th,7,never-married,machine-op-inspct,unmarried,white,male,0,0,40,puerto-rico,<=50k
21,private,197200,some-college,10,never-married,machine-op-inspct,own-child,white,male,0,0,40,united-states,<=50k
19,private,544091,hs-grad,9,married-af-spouse,adm-clerical,wife,white,female,0,0,25,united-states,<=50k
31,private,84154,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,38,?,>50k
48,self-emp-not-inc,265477,assoc-acdm,12,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,<=50k
31,private,507875,9th,5,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,43,united-states,<=50k
53,self-emp-not-inc,88506,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,<=50k
24,private,172987,bachelors,13,married-civ-spouse,tech-support,husband,white,male,0,0,50,united-states,<=50k
49,private,94638,hs-grad,9,separated,adm-clerical,unmarried,white,female,0,0,40,united-states,<=50k
25,private,289980,hs-grad,9,never-married,handlers-cleaners,not-in-family,white,male,0,0,35,united-states,<=50k
57,federal-gov,337895,bachelors,13,married-civ-spouse,prof-specialty,husband,black,male,0,0,40,united-states,>50k
53,private,144361,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,38,united-states,<=50k
44,private,128354,masters,14,divorced,exec-managerial,unmarried,white,female,0,0,40,united-states,<=50k
41,state-gov,101603,assoc-voc,11,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
29,private,271466,assoc-voc,11,never-married,prof-specialty,not-in-family,white,male,0,0,43,united-states,<=50k
25,private,32275,some-college,10,married-civ-spouse,exec-managerial,wife,other,female,0,0,40,united-states,<=50k
18,private,226956,hs-grad,9,never-married,other-service,own-child,white,female,0,0,30,?,<=50k
47,private,51835,prof-school,15,married-civ-spouse,prof-specialty,wife,white,female,0,1902,60,honduras,>50k
50,federal-gov,251585,bachelors,13,divorced,exec-managerial,not-in-family,white,male,0,0,55,united-states,>50k
47,self-emp-inc,109832,hs-grad,9,divorced,exec-managerial,not-in-family,white,male,0,0,60,united-states,<=50k
43,private,237993,some-college,10,married-civ-spouse,tech-support,husband,white,male,0,0,40,united-states,>50k
46,private,216666,5th-6th,3,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,mexico,<=50k
35,private,56352,assoc-voc,11,married-civ-spouse,other-service,husband,white,male,0,0,40,puerto-rico,<=50k
41,private,147372,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,48,united-states,<=50k
30,private,188146,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,5013,0,40,united-states,<=50k
30,private,59496,bachelors,13,married-civ-spouse,sales,husband,white,male,2407,0,40,united-states,<=50k
32,?,293936,7th-8th,4,married-spouse-absent,?,not-in-family,white,male,0,0,40,?,<=50k
48,private,149640,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,0,0,40,united-states,<=50k
42,private,116632,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,0,0,45,united-states,>50k
29,private,105598,some-college,10,divorced,tech-support,not-in-family,white,male,0,0,58,united-states,<=50k
36,private,155537,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
28,private,183175,some-college,10,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
53,private,169846,hs-grad,9,married-civ-spouse,adm-clerical,wife,white,female,0,0,40,united-states,>50k
49,self-emp-inc,191681,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,united-states,>50k
25,?,200681,some-college,10,never-married,?,own-child,white,male,0,0,40,united-states,<=50k
19,private,101509,some-college,10,never-married,prof-specialty,own-child,white,male,0,0,32,united-states,<=50k
31,private,309974,bachelors,13,separated,sales,own-child,black,female,0,0,40,united-states,<=50k
29,self-emp-not-inc,162298,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,70,united-states,>50k
23,private,211678,some-college,10,never-married,machine-op-inspct,not-in-family,white,male,0,0,40,united-states,<=50k
79,private,124744,some-college,10,married-civ-spouse,prof-specialty,other-relative,white,male,0,0,20,united-states,<=50k
27,private,213921,hs-grad,9,never-married,other-service,own-child,white,male,0,0,40,mexico,<=50k
40,private,32214,assoc-acdm,12,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,<=50k
67,?,212759,10th,6,married-civ-spouse,?,husband,white,male,0,0,2,united-states,<=50k
18,private,309634,11th,7,never-married,other-service,own-child,white,female,0,0,22,united-states,<=50k
31,local-gov,125927,7th-8th,4,married-civ-spouse,farming-fishing,husband,white,male,0,0,40,united-states,<=50k
18,private,446839,hs-grad,9,never-married,sales,not-in-family,white,male,0,0,30,united-states,<=50k
52,private,276515,bachelors,13,married-civ-spouse,other-service,husband,white,male,0,0,40,cuba,<=50k
46,private,51618,hs-grad,9,married-civ-spouse,other-service,wife,white,female,0,0,40,united-states,<=50k
59,private,159937,hs-grad,9,married-civ-spouse,sales,husband,white,male,0,0,48,united-states,<=50k
44,private,343591,hs-grad,9,divorced,craft-repair,not-in-family,white,female,14344,0,40,united-states,>50k
53,private,346253,hs-grad,9,divorced,sales,own-child,white,female,0,0,35,united-states,<=50k
49,local-gov,268234,hs-grad,9,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,>50k
33,private,202051,masters,14,married-civ-spouse,prof-specialty,husband,white,male,0,0,50,united-states,<=50k
30,private,54334,9th,5,never-married,sales,not-in-family,white,male,0,0,40,united-states,<=50k
43,federal-gov,410867,doctorate,16,never-married,prof-specialty,not-in-family,white,female,0,0,50,united-states,>50k
57,private,249977,assoc-voc,11,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,<=50k
37,private,286730,some-college,10,divorced,craft-repair,unmarried,white,female,0,0,40,united-states,<=50k
28,private,212563,some-college,10,divorced,machine-op-inspct,unmarried,black,female,0,0,25,united-states,<=50k
30,private,117747,hs-grad,9,married-civ-spouse,sales,wife,asian-pac-islander,female,0,1573,35,?,<=50k
34,local-gov,226296,bachelors,13,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,>50k
29,local-gov,115585,some-college,10,never-married,handlers-cleaners,not-in-family,white,male,0,0,50,united-states,<=50k
48,self-emp-not-inc,191277,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,0,1902,60,united-states,>50k
37,private,202683,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,48,united-states,>50k
48,private,171095,assoc-acdm,12,divorced,exec-managerial,unmarried,white,female,0,0,40,england,<=50k
32,federal-gov,249409,hs-grad,9,never-married,other-service,own-child,black,male,0,0,40,united-states,<=50k
76,private,124191,masters,14,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,>50k
44,private,198282,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,15024,0,60,united-states,>50k
47,self-emp-not-inc,149116,masters,14,never-married,prof-specialty,not-in-family,white,female,0,0,50,united-states,<=50k
20,private,188300,some-college,10,never-married,tech-support,own-child,white,female,0,0,40,united-states,<=50k
29,private,103432,hs-grad,9,never-married,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50k
32,self-emp-inc,317660,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,7688,0,40,united-states,>50k
17,?,304873,10th,6,never-married,?,own-child,white,female,34095,0,32,united-states,<=50k
30,private,194901,11th,7,never-married,handlers-cleaners,own-child,white,male,0,0,40,united-states,<=50k
31,local-gov,189265,hs-grad,9,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
42,private,124692,hs-grad,9,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,40,united-states,<=50k
24,private,432376,bachelors,13,never-married,sales,other-relative,white,male,0,0,40,united-states,<=50k
38,private,65324,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,>50k
56,self-emp-not-inc,335605,hs-grad,9,married-civ-spouse,other-service,husband,white,male,0,1887,50,canada,>50k
28,private,377869,some-college,10,married-civ-spouse,sales,wife,white,female,4064,0,25,united-states,<=50k
36,private,102864,hs-grad,9,never-married,machine-op-inspct,own-child,white,female,0,0,40,united-states,<=50k
53,private,95647,9th,5,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,50,united-states,<=50k
56,self-emp-inc,303090,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,<=50k
49,local-gov,197371,assoc-voc,11,married-civ-spouse,craft-repair,husband,black,male,0,0,40,united-states,>50k
55,private,247552,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,56,united-states,<=50k
22,private,102632,hs-grad,9,never-married,craft-repair,not-in-family,white,male,0,0,41,united-states,<=50k
21,private,199915,some-college,10,never-married,other-service,own-child,white,female,0,0,40,united-states,<=50k
40,private,118853,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,60,united-states,<=50k
30,private,77143,bachelors,13,never-married,exec-managerial,own-child,black,male,0,0,40,germany,<=50k
29,state-gov,267989,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,50,united-states,>50k
19,private,301606,some-college,10,never-married,other-service,own-child,black,male,0,0,35,united-states,<=50k
47,private,287828,bachelors,13,married-civ-spouse,exec-managerial,wife,white,female,0,0,40,united-states,>50k
20,private,111697,some-college,10,never-married,adm-clerical,own-child,white,female,0,1719,28,united-states,<=50k
31,private,114937,assoc-acdm,12,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,>50k
