attribute,wrong_val,correct_val
7941.fnlwgt,117037,48343
2674.fnlwgt,193741,423460
6363.fnlwgt,96851,86373
7147.fnlwgt,96851,209955
1055.race,**w*hit**e,white
4549.fnlwgt,70645,397346
2858.fnlwgt,187656,157813
4654.sex,*****male,male
3961.sex,***m*a*le,male
7500.age,25,37
3180.capital_loss,*****0,0
9129.age,34,18
1886.fnlwgt,310152,235733
649.fnlwgt,163003,158611
2576.fnlwgt,168294,446219
7485.sex,**m*a**le,male
4205.race,*wh**i**te,white
2273.fnlwgt,33487,242941
3918.fnlwgt,33487,251579
7121.sex,*m****ale,male
3805.fnlwgt,206399,262515
3320.sex,*m*a*l**e,male
6123.fnlwgt,437851,71792
3532.fnlwgt,293936,282622
5953.age,62,27
3046.hours_per_week,40,56
6446.fnlwgt,168294,178811
3006.fnlwgt,206399,145234
7990.race,w***h**ite,white
9503.fnlwgt,96851,255334
1214.sex,**m***ale,male
4310.fnlwgt,178660,142158
8510.fnlwgt,493034,189148
7341.fnlwgt,96851,308924
3180.occupation,sales,other-service
9958.sex,*ma**l**e,male
2331.sex,fem**al***e,female
9008.race,wh**i*t**e,white
1554.fnlwgt,493034,213977
5012.race,*whi****te,white
5493.fnlwgt,187656,193895
9538.sex,**m***ale,male
6897.fnlwgt,154236,93655
6352.fnlwgt,117037,263224
4926.fnlwgt,169631,290267
904.fnlwgt,163003,90270
6736.race,**wh*i**te,white
1500.fnlwgt,206399,225775
8446.fnlwgt,161092,274398
790.fnlwgt,243190,149704
3970.fnlwgt,154236,117751
4653.fnlwgt,386940,54759
6584.sex,*f*emal***e,female
8567.race,whi*t****e,white
3046.marital_status,never-married,divorced
487.fnlwgt,163003,401531
2394.capital_loss,*****0,0
5211.fnlwgt,279472,349691
5055.fnlwgt,199915,321666
1760.fnlwgt,33487,197384
2767.fnlwgt,493034,199011
8605.sex,**m*a*l*e,male
9928.fnlwgt,193741,271935
1573.fnlwgt,493034,198148
7110.capital_gain,*****0,0
146.fnlwgt,217961,185814
1393.fnlwgt,446839,226922
5194.fnlwgt,190997,161279
1630.fnlwgt,187656,200904
5182.fnlwgt,193741,242893
4114.fnlwgt,310152,197613
8603.capital_loss,*****0,0
4855.fnlwgt,169905,74883
3477.fnlwgt,193741,304169
9315.sex,***fe*mal*e,female
5239.sex,***ma*l*e,male
4418.sex,*m***al*e,male
9795.race,w*hit****e,white
4524.occupation,?,prof-specialty
5614.fnlwgt,96851,291407
3917.fnlwgt,253873,130856
7441.race,**w*h*i*te,white
1571.fnlwgt,168294,62534
3070.fnlwgt,117037,176140
8528.fnlwgt,430828,193090
1108.fnlwgt,96851,131088
7091.race,*w*hit***e,white
1153.fnlwgt,24215,35633
8340.race,*whit****e,white
500.fnlwgt,163003,303588
4983.fnlwgt,216563,99543
8944.fnlwgt,310152,148431
7522.age,31,28
7747.fnlwgt,169785,196975
2508.fnlwgt,96851,104216
9645.fnlwgt,193741,238401
7330.sex,**fe***male,female
3744.fnlwgt,386940,31166
6286.age,47,19
6920.race,w**h*i**te,white
6671.occupation,other-service,handlers-cleaners
8540.fnlwgt,310152,51111
6547.fnlwgt,227332,177482
1574.fnlwgt,206399,124265
7871.sex,*ma*l***e,male
8786.fnlwgt,493034,32732
8969.fnlwgt,96851,215944
9798.race,wh***i**te,white
3517.fnlwgt,33487,188618
657.fnlwgt,243190,167358
1881.fnlwgt,493034,282202
6972.sex,***ma**le,male
1173.fnlwgt,32275,404616
7347.sex,ma*l****e,male
982.fnlwgt,310152,284317
4124.fnlwgt,386940,154165
136.age,48,38
1703.fnlwgt,493034,266926
9713.fnlwgt,96851,157289
9037.fnlwgt,96851,255486
8789.fnlwgt,193741,276864
3552.fnlwgt,279472,69045
9377.race,w*h*i***te,white
3286.fnlwgt,206399,383637
6297.fnlwgt,310152,184779
6438.race,**whi**t*e,white
2476.fnlwgt,117037,342946
2021.fnlwgt,493034,33432
9462.race,***w*hi*te,white
9578.fnlwgt,129305,119006
3638.fnlwgt,386940,180296
4430.race,****whi*te,white
6677.fnlwgt,169905,310864
6716.race,*b*l*a**ck,black
9389.occupation,other-service,protective-serv
3298.fnlwgt,24215,28221
2926.race,wh**i**t*e,white
5520.fnlwgt,168294,227491
9912.fnlwgt,493034,154571
9738.fnlwgt,493034,261561
5108.sex,***m**ale,male
3930.sex,**m*a**le,male
8092.sex,*ma**l**e,male
432.fnlwgt,163003,202521
9627.fnlwgt,187656,115209
3871.fnlwgt,493034,611029
8420.capital_loss,*****0,0
2147.fnlwgt,117037,98044
4479.fnlwgt,386940,234807
3296.fnlwgt,310152,51136
3897.fnlwgt,386940,141459
1040.fnlwgt,243190,164309
7395.fnlwgt,188300,34568
347.fnlwgt,163003,36135
6784.fnlwgt,193741,577521
5299.fnlwgt,101128,100135
2941.fnlwgt,169905,76978
7294.sex,f*e*ma*l**e,female
3103.fnlwgt,310152,221745
2729.fnlwgt,33487,87653
4981.fnlwgt,28359,144354
8613.age,20,19
7300.sex,m*a*l***e,male
4383.fnlwgt,386940,148398
6280.fnlwgt,96851,172370
2612.fnlwgt,169905,60726
9528.fnlwgt,493034,112706
9252.fnlwgt,96851,46788
3757.fnlwgt,386940,168894
3813.fnlwgt,397317,70447
4622.fnlwgt,193741,191117
4686.fnlwgt,346762,317219
3208.sex,ma****l*e,male
6859.sex,*ma**l**e,male
6824.education,some-college,bachelors
3073.fnlwgt,169631,192569
4961.fnlwgt,117037,246308
1869.fnlwgt,96851,187226
9307.sex,m*al****e,male
9248.sex,ma*l****e,male
597.fnlwgt,243190,99399
669.fnlwgt,187656,114746
3952.fnlwgt,493034,314525
2952.occupation,prof-specialty,exec-managerial
7863.fnlwgt,24215,125159
4779.fnlwgt,169631,200819
2051.fnlwgt,310152,188569
2507.fnlwgt,206399,143867
4509.fnlwgt,169905,218136
8401.fnlwgt,227332,164488
472.fnlwgt,163003,139883
6060.fnlwgt,187656,163582
5478.fnlwgt,33487,156294
2474.sex,***m*a*le,male
5304.fnlwgt,33487,125591
9174.sex,**m**al*e,male
8828.sex,*m*a*l**e,male
7938.fnlwgt,33487,118352
9354.fnlwgt,193741,85154
4222.fnlwgt,386940,169638
4092.sex,mal*****e,male
7561.fnlwgt,33487,47713
4486.race,whi**t***e,white
5953.nativecountry,uni*ted-***stat*es,united-states
3291.fnlwgt,117037,83446
7664.fnlwgt,187656,659273
4029.fnlwgt,386940,195216
4203.fnlwgt,386940,193895
8921.fnlwgt,193741,274746
4413.fnlwgt,386940,170070
6214.sex,m***a*l*e,male
9939.fnlwgt,356838,36635
4554.fnlwgt,216563,291407
8812.fnlwgt,169905,431307
9761.capital_loss,*****0,0
9744.race,w**h*i*t*e,white
7452.fnlwgt,117037,110798
3823.fnlwgt,386940,32385
6272.fnlwgt,266015,59948
5070.race,*w**hi**te,white
8202.race,**whit***e,white
4081.fnlwgt,33487,208874
7127.fnlwgt,96851,42706
793.fnlwgt,163003,196061
2214.fnlwgt,24215,131852
5854.fnlwgt,200681,394820
5329.sex,m**al***e,male
4807.sex,*m****ale,male
3978.fnlwgt,493034,228649
2362.fnlwgt,227332,256000
4570.fnlwgt,386940,274809
7964.fnlwgt,33487,26620
5724.fnlwgt,310152,349368
7548.fnlwgt,117037,141481
4258.sex,***m**ale,male
3886.fnlwgt,386940,146719
3119.fnlwgt,206399,130431
506.fnlwgt,279472,388093
4519.race,**whi***te,white
7262.nativecountry,united*-s*tat**e*s,united-states
2343.fnlwgt,96851,519627
6344.sex,m*a****le,male
6686.fnlwgt,33487,283945
2769.fnlwgt,493034,29810
6261.race,w***h*i*te,white
3994.capital_loss,*****0,0
6625.race,*w***hi*te,white
5068.fnlwgt,193741,78045
7927.fnlwgt,193741,165754
2355.fnlwgt,310152,217421
1607.fnlwgt,129305,451940
409.fnlwgt,243190,123147
7789.capital_loss,*****0,0
5012.sex,*m*a***le,male
8849.capital_loss,*****0,0
9889.fnlwgt,117037,121471
7255.fnlwgt,117037,199963
507.fnlwgt,206399,249609
3358.fnlwgt,241951,182812
7580.fnlwgt,230020,277390
6994.marital_status,married-civ-spouse,never-married
8194.sex,*m**al**e,male
1518.fnlwgt,217961,284834
1483.sex,**m***ale,male
3632.fnlwgt,24215,191024
6012.race,**w*h*it*e,white
5314.fnlwgt,169905,257574
9139.fnlwgt,253873,61387
8935.fnlwgt,161092,175254
7443.sex,*m**a**le,male
9606.fnlwgt,34918,100345
7858.capital_loss,*****0,0
7500.sex,m****a*le,male
2076.fnlwgt,169905,144259
9623.fnlwgt,161092,147147
2906.fnlwgt,117037,358056
7110.capital_loss,*****0,0
7823.sex,m****a*le,male
8992.fnlwgt,410351,44921
7840.fnlwgt,24215,202498
8720.race,*w*hi***te,white
8957.sex,*m*al***e,male
9344.race,*w**h*it*e,white
6565.fnlwgt,446839,161930
3259.fnlwgt,206399,417657
1945.fnlwgt,117037,153405
4666.fnlwgt,386940,332588
